term1,term2,how_similar_are_the_two_combinations,how_similar_are_the_two_combinations.variance
every wind,every hotel,3.25,1.479
four cottages,four hospitals,3.25,1.92
every artist,every manufacturer,2.25,2.165
two tables,four chairs,1.75,1.299
these ships,all ships,4.75,1.09
those dogs,that opinion,1,0
this nation,that hospital,1.5,0.866
two agencies,four agencies,3,1.871
these days,those days,5.5,0.866
two pigs,four pigs,3.75,1.92
those bonds,those statutes,2.75,1.479
these families,this family,5.75,0.433
that moment,all periods,1.75,1.299
those cats,that pub,1.75,1.299
three moments,three periods,3,2
two legions,three companies,3.5,2.598
these shares,that cheque,1.25,0.433
three dances,three parties,1.75,1.299
four missiles,those missiles,5,0.707
two funds,these funds,2.25,2.165
three artists,four architects,3.5,1.803
four troops,those troops,2.75,2.046
two battleships,three tankers,2.25,1.639
two goats,those horses,1,0
four restaurants,four laws,1.25,0.433
two cruisers,four bombers,1.75,1.299
all houses,every party,1,0
three funds,these credits,1.25,0.433
these treaties,those treaties,6.25,0.829
three committees,three departments,3.5,2.5
three spoons,four occasions,1,0
two hospitals,four restaurants,1.75,1.299
these ceremonies,those villages,1.5,0.866
two brigades,three legions,1.5,0.866
this corner,every corner,5.75,0.829
that wind,that check,1,0
three bottles,those bottles,4.75,1.09
those boroughs,that parish,2.5,2.062
these rats,those cows,1,0
three families,those families,5.75,1.09
three artists,four clubs,1.5,0.5
four tribes,these houses,1.25,0.433
two cities,three coats,1.25,0.433
these funds,these investments,3.25,1.92
two assignments,three assignments,2.5,2.598
that interest,every gain,1,0
those states,those fighters,2.5,2.062
these companies,this licence,1,0
two cars,four cars,2.25,0.829
this acceptance,that obligation,1.5,0.5
two houses,this agency,1.25,0.433
those opinions,this opinion,4.25,2.165
two departments,two families,2,1.732
three cats,that horse,1,0
this ball,this party,1.5,0.866
those tables,this ship,1.25,0.433
that house,that bottle,4,2.236
three ships,these ships,3.75,1.639
every cow,every gun,2.25,1.299
three conventions,three laws,2.75,1.785
this capital,every capital,2.75,1.785
two restaurants,these restaurants,5.25,0.829
three cities,these boroughs,1.25,0.433
two lions,four lions,5.25,0.433
every love,every pleasure,2.25,0.829
all bottles,every bottle,5.5,1.118
these restaurants,this chair,2,1
these villages,that village,4.25,2.046
these trains,those occasions,1,0
these axes,this restaurant,1,0
three departments,this department,4,1.225
those tribes,all leagues,1.75,0.433
that car,that train,1.25,0.433
three periods,four agencies,1,0
every borough,every team,2.75,2.487
these celebrations,these ceremonies,4.25,1.785
two lengths,three cows,1.25,0.433
these funds,those investments,1.5,0.866
four horses,that horse,3.75,1.785
two boroughs,this state,2,1.225
all beds,all parties,2,1.225
four trains,these trains,4.5,2.062
these families,these troops,2.5,2.062
those kingdoms,this kingdom,4.5,2.179
four cruisers,four frigates,3.25,2.487
all manufacturers,all producers,2.75,1.785
that club,every branch,1.5,0.5
three pubs,three extensions,1.25,0.433
two teams,this team,2,1.225
four designers,those builders,1,0
two towns,two committees,1.5,0.866
these licences,this licence,4.5,2.062
two committees,two departments,3.25,2.487
two lions,three producers,1,0
those bills,all bills,4.25,1.785
two rings,three cylinders,1.75,0.829
these gains,these occasions,1,0
three helicopters,three tankers,2,1.225
these shares,every law,1.25,0.433
these trains,these trucks,1.5,0.866
these vans,that ship,1.5,0.5
those days,those guns,1,0
three kingdoms,those kingdoms,5,1.581
those pigs,those committees,1.25,0.433
all designers,all producers,1,0
three committees,this club,1,0
these trains,those occasions,2,1.225
these treaties,this castle,1,0
these dates,this boat,1,0
two villas,four villas,2.75,1.479
that pub,that guitar,3.5,1.5
those investments,this investment,5,0.707
those laws,that obligation,2,1.732
these buses,this licence,1.75,0.829
those cars,this share,1.75,1.299
these clubs,that office,1,0
two restaurants,this restaurant,4.25,1.479
this obligation,that dance,1.75,1.299
two teams,this team,5.75,0.433
two cats,three masses,1.5,0.866
two treaties,that law,1.5,0.5
these credits,those credits,2.75,1.785
this bus,every truck,1.75,1.299
two ships,those ships,5.75,1.09
every land,every moment,3.25,2.278
this family,that gold,1.5,0.5
all lands,all committees,1.5,0.866
two domes,three domes,3.5,2.5
four balls,those balls,3.5,1.803
four buses,four jets,1.25,0.433
that check,every check,5.5,0.5
these shares,those shares,5.75,0.433
two horses,two guitars,1.75,0.829
these villas,this cottage,3.25,1.299
these clouds,that cloud,4.25,2.165
these towns,this train,2,1
three assignments,four trains,1,0
this team,every team,4.75,2.278
four drafts,these drafts,4.5,0.5
these shirts,those bonds,1.25,0.433
that desire,that love,1.5,0.866
those corners,those pliers,1.25,0.433
two hotels,four battleships,2.5,2.598
that sheep,that bottle,2.25,1.639
two towns,four spades,1.5,0.866
all designers,all producers,2.25,1.639
two rifles,three troops,1.25,0.433
all tribes,every period,1.75,0.829
those troops,all leagues,1,0
these rings,that coat,1,0
two moments,this moment,4,2.236
four countries,this borough,1.25,0.433
four hurricanes,four tornadoes,3.25,2.278
all guns,every gun,4,2.236
these clouds,these winds,2.25,1.639
three epochs,this epoch,4.25,2.165
three pubs,three forks,2,1.225
those conventions,all bonds,1.25,0.433
those obligations,this licence,1.25,0.433
those restaurants,those cities,2,1.225
three companies,three cannons,1.5,0.866
these boroughs,that borough,5.75,0.829
this ball,that artist,1.75,1.299
those trucks,that boat,1,0
those weights,that weight,3,1.871
three photographers,three missiles,2.5,2.598
this check,that agency,1.75,0.829
that weight,all weights,1.75,1.299
that family,all families,2.5,1.5
those photographers,that gun,1.25,0.433
two clubs,three makers,1.25,0.433
two drafts,three drafts,5.5,0.866
these suburbs,this county,1.75,0.829
all mortgages,all developers,2.25,2.165
all bills,all licences,3,1
that day,every day,4.75,1.785
that town,that nation,2,0.707
all conventions,all laws,2.75,2.487
two shares,four laws,2,1.225
these manufacturers,every architect,1.75,0.829
that car,that train,1,0
two ventures,two hospitals,2.25,1.299
four missiles,these missiles,5.5,0.5
two ceremonies,four drafts,1.75,1.299
all cats,all horses,2.25,1.09
three cities,those countries,1.25,0.433
these states,that state,6,0.707
two bonds,two moments,2,1
those cars,that bill,1.5,0.866
these weights,every weight,4.25,2.165
those socks,that shirt,1.5,0.866
four bills,four houses,1.75,1.299
two blasts,two cyclones,2.75,1.479
these suburbs,these dances,1.75,0.829
three pubs,three extensions,2.75,1.785
three phones,four pounds,1,0
these bonds,that bond,3.5,2.291
those houses,that department,1.75,0.829
this check,that check,6.5,0.5
all conventions,all laws,3.5,1.803
three committees,four offices,1.25,0.433
this borough,this land,3,1.581
four balls,these ceremonies,1.5,0.866
all boroughs,all villages,1.5,0.866
two occasions,three funds,1.75,1.299
this statute,all statutes,5,0.707
two coats,that shirt,2,1.225
these celebrations,this celebration,5,1.871
all photographers,all ships,3,1.871
two libraries,four libraries,5.5,1.5
two grenades,two missiles,4.5,1.5
all houses,every team,1.25,0.433
these hospitals,those families,1.5,0.5
three leagues,this company,1.75,1.299
four moments,four cars,2.25,2.165
two licences,this licence,2,1.225
two dogs,four dogs,5.25,0.433
three architects,three developers,1.25,0.433
three guitars,four guitars,4.25,2.046
three cats,these pigs,1,0
two platoons,four platoons,4.75,2.165
all statutes,all treaties,2.75,2.487
all lands,every town,3.5,1.5
those artists,those rings,1,0
two hospitals,this cottage,2.5,2.062
four cylinders,four rings,3,1.414
those statutes,that statute,4.75,2.278
these countries,that country,6,0.707
two ships,four cats,1.5,0.5
those beds,those masses,1.5,0.866
those houses,all houses,6,0.707
three golds,three bottles,1.75,1.299
these families,that family,4.25,2.385
three cottages,three hotels,4,2.121
two bottles,that bottle,3.25,1.785
this ceremony,every wedding,1.25,0.433
those boroughs,that borough,4.75,2.278
four cruisers,these buses,2,1.225
these musicians,these statutes,1.25,0.433
this cottage,this county,2,1.732
every borough,every horse,4.5,2.291
three funds,that allocation,1.75,1.299
those artists,that club,1,0
all villas,all farmers,1,0
this cottage,this hotel,2,0.707
those buses,those cars,2.25,1.09
four corners,four trains,2.25,2.165
two departments,these departments,5,1.581
this fear,this passion,1.25,0.433
these trucks,those boats,1,0
that state,all states,4.25,0.829
two libraries,those libraries,4.5,2.062
all manufacturers,every bomb,1.75,0.829
three families,that family,3.5,2.062
this anger,that fear,1.5,0.5
these tribes,all tribes,4.5,2.062
four goats,four dogs,2.75,2.046
those incomes,those shirts,1,0
two bombers,two cruisers,2.25,0.829
two towns,three hurricanes,1.25,0.433
those agencies,those departments,3,1.225
this fear,this pain,2.25,2.165
these shirts,that castle,1,0
those nations,every nation,5,0
two companies,two legions,3.25,2.278
these bills,these checks,3.25,1.92
two dances,three boroughs,2.25,2.165
two dates,three kingdoms,1.5,0.866
three ambulances,three jets,1.75,0.829
these teams,this team,2.25,1.639
three epochs,three moments,3,2
that agency,that company,3,2
two cannons,four cannons,5.25,0.433
every developer,every ceremony,2.5,2.062
these axes,this department,1.75,0.829
two drafts,four drafts,4.75,2.165
those lengths,all lengths,5.75,0.433
two leagues,those leagues,3.5,1.803
these weights,that law,1.75,0.433
those licences,that family,1.25,0.433
two treaties,four treaties,4.75,2.165
this cat,every cat,2.5,1.118
every architect,every artist,1.25,0.433
two boats,three boats,3.75,2.773
those pleasures,those dates,2.75,1.479
this check,that check,4.75,0.829
those countries,those states,3.5,2.598
these cancers,this cancer,4.25,1.92
two laws,three laws,4.75,2.278
three developers,four capitals,1,0
this league,that league,4.5,2.291
four boroughs,this land,2.25,2.165
these winds,that wind,5.5,0.5
four guitars,four cups,2,1
four tables,those tables,3.5,2.179
three assignments,four trains,1.25,0.433
four cities,this state,1.5,0.866
this party,that party,5.75,1.09
these trucks,those boats,1.25,0.433
these states,this kingdom,2.25,1.299
those leagues,all companies,2.5,1.118
these cancers,this cancer,4.75,2.165
this mass,all masses,5,1.871
that cup,that boat,3.5,1.658
four credits,these gains,2,1.732
those boroughs,those extensions,3,2.121
two boats,three clubs,2,1.732
three interests,four makers,1,0
four helicopters,four jets,1,0
these fighters,those makers,1.5,0.866
that artist,that opinion,1.75,0.829
these lands,these towns,2.5,1.118
two assignments,this assignment,5.75,0.433
that dog,all dogs,5.75,0.433
four artists,four occasions,1,0
three beds,three balls,1.5,0.5
three bills,four cars,2.25,1.299
two rings,these rings,5,1.225
those dresses,those cities,1.5,0.5
this party,that party,5.25,2.487
two beds,three cars,1,0
all lands,every town,2,1.225
two trains,those trains,3.75,1.92
every architect,every law,1.75,1.299
three interests,this fund,1,0
this bottle,all bottles,4.25,1.785
three rings,that ring,4.5,2.062
this club,every club,3.5,1.118
four committees,four cups,3,2.121
four counties,this state,1.75,0.829
those pants,this guitar,1.5,0.5
all towns,every town,5.75,1.09
those countries,those trains,3,2.449
every day,every moment,3.25,0.433
two buses,that boat,1,0
two artists,two cruisers,1.75,1.299
two departments,four suburbs,1,0
those clouds,those painters,1.25,0.433
that date,all dates,5.5,0.5
these assignments,those assignments,6,0.707
two funds,that fund,3.75,1.785
all countries,all teams,1.25,0.433
these countries,this country,3,2
those bombs,those missiles,3.5,1.5
those dogs,every cat,1.25,0.433
those families,that family,3.25,1.92
that profit,all profits,3.5,1.5
two troops,two trucks,2.25,2.165
that fund,every capital,2.25,2.165
those profits,all profits,5,0.707
this bill,that bill,3.5,2.062
two licences,four licences,4.25,2.385
all farmers,all days,2.25,2.165
this sensitivity,that artist,2,1.225
two households,these leagues,1.25,0.433
two developers,four cows,1,0
those checks,that check,3.5,2.062
three leagues,this league,4.25,1.479
these beds,that wedding,2,1.225
two bottles,four phones,1.75,0.829
these parties,this pub,2,1.732
three jets,these vans,1.5,0.866
three boroughs,these boroughs,4.5,2.598
that income,that taxation,2,1
two ventures,two shares,3.5,2.291
two makers,those musicians,1,0
these restaurants,these rings,2.5,1.5
these shares,those shares,3,2.121
two makers,four nations,1.75,1.299
those families,this mass,1.5,0.866
three pigs,those horses,1,0
four rings,those rings,4,1.225
this agency,that department,2.5,1.5
three hotels,these hotels,6,0.707
these bills,that county,1.5,0.866
these ships,this committee,2.25,1.09
that allocation,that interest,2,1.225
those rabbits,all rabbits,4.5,2.062
four days,four moments,2,1.732
these companies,that town,1.75,0.829
two libraries,three cents,1.25,0.433
every farmer,every train,2.25,0.829
two restaurants,four castles,1,0
four boroughs,four kingdoms,3,1.581
all trains,every league,2.25,1.299
three kingdoms,four artists,2.5,2.598
that future,that period,2.5,1.5
two committees,this committee,5,1.225
four bills,this bill,4.5,2.179
two shirts,these gloves,2.25,1.639
this committee,every committee,5.75,0.433
these bonds,this licence,1,0
that hospital,every cottage,1,0
these laws,that convention,2.75,1.09
two troops,four committees,1.75,0.829
that committee,that team,2.75,1.785
these profits,those cars,1,0
four beds,these beds,5.5,1.118
those agencies,that branch,1.25,0.433
that cat,all horses,1.25,0.433
four dances,those dances,4.25,1.92
two boroughs,that borough,3.75,1.92
those laws,those licences,1.75,1.299
those bills,that bill,4.75,1.09
every venture,every draft,2.25,1.299
that possession,all possessions,4.25,1.479
four goats,four dogs,3,1.414
two dogs,four drafts,1,0
three licences,this licence,4.25,2.046
all manufacturers,every bomb,1,0
these boroughs,all towns,1,0
three teams,four tribes,1,0
these extensions,those extensions,5.5,0.866
every interest,every maker,3.5,1.5
that dog,every dog,3.25,1.479
these licences,those licences,5.25,0.829
two treaties,that law,2.5,1.5
two clubs,three boats,1,0
three families,those households,1.75,0.829
three bombers,four battleships,2.75,1.299
these dates,those dates,4.75,2.278
four developers,four houses,2.25,0.829
two goats,that dog,1.25,0.433
this law,that convention,1.5,0.866
that treaty,every treaty,5,1
two teams,three bottles,1.25,0.433
this agency,this office,2.25,2.165
those farmers,that pain,1.25,0.433
two coats,three coats,3.5,0.866
three chairs,that chair,2.25,1.639
those offices,that office,4.75,1.09
those incomes,those profits,5,0.707
every hospital,every league,1,0
those squirrels,every dog,1,0
two bills,these bills,6,0
that draft,every draft,4.5,1.5
two funds,three credits,3.25,1.479
two manufacturers,this manufacturer,4.5,2.062
two clubs,this club,3.75,2.278
every car,every train,2,0.707
two towns,four countries,3,1
that gain,that bed,1,0
three drafts,these drafts,5,1.225
these allocations,these funds,3,2
those cats,that cat,3.5,1.5
two hotels,two cylinders,1,0
three leagues,four ships,1,0
two builders,three architects,1.25,0.433
those families,that family,3.5,1.658
these boats,all buses,1.75,1.299
these fighters,that celebration,1.25,0.433
two committees,those tribes,2,1.732
two restaurants,three domes,2,1.225
four battleships,four trucks,2.25,1.639
this law,this gun,1.5,0.866
two battleships,four ships,3.25,1.479
three hotels,that hotel,4.5,2.179
two departments,two boats,2,1.732
all cottages,every cottage,4,2.236
four boroughs,four suburbs,1.25,0.433
these lengths,these nations,1.25,0.433
these occasions,this occasion,5.5,2.598
those farmers,all producers,2.75,2.046
that branch,that company,3.25,1.785
three chairs,those chairs,5.25,0.829
four households,four offices,4.5,1.5
all tribes,every bomb,1.75,1.299
four villages,that land,1,0
these rings,this county,1,0
three hats,three rifles,1.5,0.866
these kingdoms,these cars,2,1.225
this nation,every team,2.5,1.5
two cars,those ships,1,0
those committees,that league,1,0
that bill,that law,3,2
two cats,four horses,1,0
three buses,these jets,1.75,1.299
these cars,that car,1,0
those desires,that anger,1.75,1.299
this draft,that draft,6.25,0.829
those pigs,this dog,2.5,1.5
those bombs,that ceremony,1,0
these wonders,this fear,1.25,0.433
those dresses,that dress,3.75,2.385
these extensions,this stretch,2.25,1.639
two masses,three masses,5.25,0.433
every county,every state,3.5,1.803
two boats,three cruisers,2.75,1.299
three hurricanes,four hurricanes,3.75,1.785
three guns,these guns,5.5,1.118
two balls,these ceremonies,2.5,2.062
those hospitals,that hospital,5.25,1.479
this day,that day,4.5,2.598
every country,every town,3.25,1.785
four ducks,four laws,1.75,1.299
this date,every date,4.5,1.658
two ducks,two laws,2.75,1.785
that extension,all extensions,5,1.225
all opinions,all buses,1,0
two builders,those developers,2,1.225
this bed,that chair,1,0
this date,this epoch,3.75,1.785
three tornadoes,four tornadoes,5.75,0.433
three hospitals,three trains,1,0
four cows,those squirrels,1.5,0.866
four capitals,four golds,3,2.121
those incomes,this credit,2.25,2.165
these ceremonies,that wedding,1.75,1.299
two conventions,two treaties,2.5,0.5
four days,those days,4.25,2.046
three licences,four licences,3.75,1.92
that country,every kingdom,1.25,0.433
these trucks,all trains,1.5,0.866
these countries,those countries,5.5,0.5
those weights,that mass,1.75,1.299
those teams,all companies,3,2
those nations,those periods,1.25,0.433
those photographers,this gun,1,0
all counties,all masses,3.5,0.866
every developer,every law,2.25,1.09
that pain,that bond,2.25,1.639
two buses,four trains,1.75,0.433
two cents,four cents,3.75,2.278
these celebrations,that hotel,1,0
these nations,those beds,1.25,0.433
those bonds,that bond,3.75,1.479
two nations,three missiles,1.25,0.433
those developers,those cars,2.25,1.299
three photographers,four axes,1.25,0.433
those pigs,those parties,2.75,1.09
two funds,those funds,4.75,2.278
those makers,those rings,2,1.225
those counties,those kingdoms,3.5,0.866
three kingdoms,this kingdom,3.25,1.785
two bills,four treaties,2.75,2.487
four departments,that department,3.5,2.5
two families,four families,5.25,1.92
those moments,all moments,3.5,2.291
two cottages,three castles,1.25,0.433
all hotels,all opinions,2.75,2.487
those pants,this shirt,1,0
three villas,three guns,1.25,0.433
those boroughs,those fears,3.5,1.5
four countries,four kingdoms,3,1.414
four cars,four vans,3.25,1.785
two cruisers,three ships,3,1.871
these buses,these trains,2.25,1.299
two ventures,four corners,3.75,1.479
these phones,this hospital,2,1
that town,every city,4.5,1.5
those beds,that branch,1.5,0.866
these tribes,this cottage,1,0
two villas,this cottage,1.25,0.433
three opinions,four opinions,4.5,1.118
these trucks,those trucks,4.25,2.385
two manufacturers,four architects,2,0.707
two dances,four weddings,2.5,2.062
three clubs,these clubs,4.25,1.299
three battleships,these trucks,1.75,1.299
these masses,that mass,4.5,2.062
these beds,this ring,1.25,0.433
three clubs,that club,1.5,0.866
two cities,four cities,2.5,1.658
four companies,four leagues,1.5,0.866
all masses,every dance,1.25,0.433
that restaurant,that team,3.25,1.785
this branch,all families,1.5,0.866
this town,that town,6,0
two bombs,four funds,1.75,0.829
that gun,all guns,3.5,2.062
three cups,this cup,5.25,0.433
two leagues,these troops,1,0
these tables,those extensions,1.25,0.433
that wind,every wind,5.75,1.639
every club,every department,3.5,0.5
three dances,three bombers,3.5,2.5
these lands,this county,1.75,1.299
four towns,this parish,2,1
three producers,four makers,2,1.225
those desires,this desire,2.5,1.658
every agency,every company,2,1.732
this manufacturer,all farmers,1.5,0.866
these parties,those clubs,2,1
these committees,those towns,1.5,0.5
this aircraft,that boat,2,1.225
four boats,four frigates,4.25,2.046
these profits,every credit,2.25,1.299
that moment,every moment,4.25,0.829
all leagues,every hospital,1.25,0.433
this cottage,this horse,1.5,0.866
this aircraft,every bus,2,1.225
these desires,every passion,1.25,0.433
two ventures,two families,3.75,2.385
all countries,all teams,3,1.225
two hotels,two villas,1.5,0.866
four goats,four horses,2,1.225
two dances,two ships,2,1.732
two musicians,four musicians,2.75,2.046
all pubs,all offices,1.5,0.866
those interests,that income,1.25,0.433
four treaties,four jets,2,1.225
this suffering,every ache,2,1.732
four motorcycles,four ships,2.5,1.5
those cars,this car,4.5,2.291
those artists,this artist,4.75,1.299
two dogs,four drafts,1.25,0.433
three bulls,three elephants,3.75,1.92
these trucks,all trains,1.75,1.299
those counties,those days,3.25,1.785
this dance,every wedding,1,0
two developers,two dances,1,0
that convention,every convention,5.75,0.433
two coats,four masses,1.75,1.299
three buses,those boats,1.75,1.299
all companies,every agency,3.5,1.658
two hotels,two villas,2,1.225
two cows,those squirrels,1.25,0.433
three pounds,those pennies,1.25,0.433
four committees,these committees,5,2.345
these manufacturers,those manufacturers,6,0
that cow,every cow,4.75,2.278
those conventions,this decree,1.25,0.433
this ship,all motorcycles,1.5,0.5
these checks,that share,1.25,0.433
this phone,this credit,1.25,0.433
those architects,those designers,2.5,1.658
two counties,three days,1.25,0.433
three bottles,that bottle,3.75,2.278
three ceremonies,three ships,1.5,0.866
two weights,that weight,4.25,1.92
those incomes,that ball,2,1.225
two hotels,two restaurants,3,1.581
this library,that guitar,1.75,0.829
two chairs,these chairs,3,2.121
these tribes,those periods,1.25,0.433
that cow,every cow,5.75,0.433
every bus,every train,3.5,2.291
three bills,that bill,3.25,1.785
three leagues,four leagues,5,1.414
two funds,four funds,5.25,0.433
those temperatures,those periods,2.25,2.165
these guns,every gun,5,0.707
two farmers,those photographers,1.75,0.829
two offices,three offices,3.4,2.059
these cars,this car,4.25,1.92
these developers,this passion,1.75,1.299
that weight,that train,2.5,2.062
four dates,those dates,3.25,1.479
four chairs,four balls,3.5,0.5
this house,that house,6.5,0.5
four coats,that dress,3,1.414
these horses,these guitars,1.5,0.5
these guitars,those funds,1.25,0.433
that chair,that length,1.25,0.433
these ventures,that venture,3.5,1.5
these dogs,that horse,1.25,0.433
three libraries,four towns,1,0
these cottages,this tribe,1.5,0.866
those pants,this moth,1.25,0.433
two shares,two extensions,3.25,2.278
these pigs,those counties,1.25,0.433
two architects,four makers,1.5,0.5
all statutes,all treaties,3.5,2.291
three hurricanes,three pigs,2.75,1.09
these manufacturers,those developers,3,1.581
four troops,this nation,1.5,0.866
this village,this family,2.75,1.785
two rockets,four rockets,4.25,2.046
this branch,every branch,4,1.871
two pennies,two houses,2,1.732
all occasions,every agency,1,0
three forks,those bottles,1.75,1.299
two hats,those pants,2,1.225
these farmers,those farmers,3.5,2.5
these shirts,these socks,3,1.871
two states,three towns,1.75,1.299
those shares,this share,5,0.707
these bombs,those architects,1,0
these axes,those buses,2,1.225
three assignments,these statutes,2.25,1.299
two hospitals,these hospitals,3.5,2.5
these butterflies,these moths,2,1.732
those horses,that dog,1,0
three platoons,that department,2.25,1.299
four frigates,those fighters,2,1.732
these funds,these manufacturers,2.25,1.09
two guns,four grenades,1.25,0.433
two forks,two spoons,2,1.225
two days,this day,5.25,0.433
these agencies,this guitar,1.25,0.433
those extensions,every extension,3.75,1.639
this anger,every fear,3.25,2.487
two manufacturers,four leagues,1.5,0.866
that horse,that guitar,2,1
three villages,three ships,3.5,2.062
these families,this department,2,1.225
these drafts,that draft,2.25,1.639
two forks,three bottles,1.25,0.433
this ship,that car,2.25,1.299
these towns,these moments,2.5,1.658
those balls,this ball,4.5,1.118
these restaurants,this hotel,4.25,0.433
three pickups,four trucks,2,1.732
three tables,four hotels,2.75,1.09
four bombers,that car,1.75,0.829
three villages,three bills,1,0
these restaurants,those restaurants,4,1.871
four towns,four constitutions,2.25,1.299
two chairs,four goats,1.5,0.866
these ships,those clouds,2.5,1.658
four chairs,those chairs,3.75,1.92
every length,every day,1.5,0.866
this train,all buses,2.75,1.299
three companies,four teams,2.25,1.639
these drafts,these ceremonies,2.5,1.118
those fighters,all fighters,6,0
three cents,four helicopters,1.75,1.299
those villages,this land,2,1.732
two clubs,three makers,1.75,1.299
three teams,four teams,4,2.121
those clouds,that cloud,5.25,1.299
two artists,two designers,4,2.121
those tables,that table,5.25,0.829
three families,three troops,2.25,1.299
those households,those offices,2.5,1.5
four phones,those phones,4.75,2.165
two licences,four bonds,1.25,0.433
three designers,three developers,4.25,2.385
three ships,that aircraft,1.25,0.433
two counties,two households,1.25,0.433
three interests,four guns,2,1.225
these bonds,these trucks,2.5,2.062
four opinions,these opinions,3.75,1.92
two cannons,four cats,1.25,0.433
three buses,three trucks,2.25,1.639
three libraries,four libraries,5.5,0.5
that county,that bill,2,1
three hats,three lions,1.25,0.433
three bills,those bills,3.75,1.639
those conventions,that opinion,1.75,1.299
those producers,this department,1.75,1.299
all bonds,all obligations,3.5,1.658
two helicopters,two tankers,1.25,0.433
two agencies,two offices,3.5,1.803
these masses,this temperature,1,0
four farmers,these makers,3.5,1.803
that taxation,that bus,1.75,1.299
all shares,all teams,1.25,0.433
those checks,those occasions,4,2.236
three rings,four helicopters,1,0
this committee,this tribe,1.25,0.433
these balls,that horse,1.75,0.829
two ceremonies,this ball,1,0
four funds,that gold,1.25,0.433
those architects,those makers,1,0
two helicopters,four boroughs,1.25,0.433
this bill,that treaty,1.25,0.433
two agencies,these houses,1.25,0.433
these makers,these producers,3.25,2.487
this team,that house,1,0
these obligations,this check,1.25,0.433
four fighters,four tankers,3,1.581
those funds,that library,1.25,0.433
two counties,three days,1.75,1.299
three extensions,four extensions,5.25,1.299
those guns,that day,2,1.225
these developers,these dances,1.5,0.5
two villas,these castles,2.75,1.785
two jets,four jets,4.25,1.92
these boats,all buses,1.75,0.829
two cities,four prefectures,1,0
this epoch,that epoch,3.5,2.5
two shirts,two tankers,2.25,1.299
that investment,that profit,1.25,0.433
these tribes,all tribes,5.5,1.5
those architects,all photographers,2,1.225
all parties,all corners,2.75,1.479
this phone,this share,2.25,1.639
those leagues,all companies,1,0
three conventions,that convention,4.75,1.479
these cars,this train,1.75,1.299
two bombers,four villages,1,0
all dates,all boats,2.5,0.5
these dogs,those rabbits,1.5,0.866
three horses,three dates,1.75,1.299
two beds,four beds,4.5,2.062
all tables,every table,5.5,0.5
those gains,that chestnut,1,0
three horses,those horses,5,1.581
two bombs,that gun,2.5,1.5
all trains,every boat,1.75,1.299
four agencies,those agencies,5,2.345
three restaurants,this restaurant,4,2.121
those bonds,those corners,3,2
this assignment,that licence,1.25,0.433
these conventions,this convention,3.5,2.062
these cottages,this tribe,1,0
this convention,that convention,6,0.707
two leagues,three leagues,4.75,1.639
four agencies,this house,1.75,1.299
this convention,that convention,4.5,1.658
these dances,those parties,2.25,1.299
this table,all tables,5,0.707
three dollars,four cents,2,1.732
three cows,these cats,1.75,1.299
two shirts,this coat,1.5,0.5
this fear,that fear,5.75,1.09
all committees,all teams,3.25,1.92
two tables,two cows,1.25,0.433
that interest,that weight,1,0
those clubs,this office,1.25,0.433
those laws,that obligation,2.75,1.09
four states,those lands,2,1.732
these masses,every extension,1.25,0.433
two agencies,that committee,1.25,0.433
these dances,that library,2,1.225
two rabbits,those rabbits,5.5,1.658
four masses,those weights,2.25,1.639
those dogs,that dog,3,1
those hotels,those buses,2.25,0.829
that pain,that pleasure,2.75,1.299
two drafts,two ceremonies,1.75,1.299
two cannons,three cannons,4.5,1.118
these fighters,this assignment,1,0
three makers,these makers,5.5,0.866
four villas,these villas,4.5,2.062
those desires,that anger,1.75,1.299
that statute,all statutes,3.5,2.598
those makers,this pain,1.75,1.299
these suburbs,that village,2,1
three libraries,four houses,2,1
two conventions,these conventions,5,2.345
this borough,all boroughs,5.75,0.829
these gains,those statutes,1.25,0.433
these ceremonies,those restaurants,1,0
four shares,those shares,4,1.871
three countries,four states,2.75,1.785
this investment,all investments,4.75,2.487
those companies,this company,5.75,0.433
these cars,those profits,1.25,0.433
every bond,every ring,2,1.732
all producers,every producer,4.5,2.062
that branch,every branch,4.5,1.118
two treaties,three offices,1.75,1.299
those committees,all clubs,2.75,2.046
these checks,this cat,1.5,0.866
those villages,that land,2.5,1.5
three restaurants,four restaurants,2.75,2.046
these credits,this corner,1.25,0.433
those states,that treaty,1.25,0.433
these parties,those parties,4.25,1.92
two apples,two rats,2.25,1.639
that county,every county,5.25,1.299
these hospitals,that hospital,4.5,2.179
this pain,that pain,5.75,0.829
these committees,those possessions,2.5,2.062
those restaurants,that pub,3.75,1.299
two laws,four treaties,1.75,1.299
those musicians,that party,1.25,0.433
two bombers,four bombers,5.5,0.5
four artists,four producers,2,1.225
these bonds,that statute,2,1.225
those funds,that library,1.5,0.5
three lengths,four lengths,3.5,2.5
three departments,three offices,2.25,1.299
two battleships,four bombers,1,0
that fund,all funds,2.25,2.165
those possessions,every possession,4.25,1.92
that cup,that boat,2.25,2.165
those dates,this date,4.25,1.479
this borough,every borough,4.5,1.118
two castles,four hotels,2.75,1.479
three committees,this committee,6,0.707
two laws,four ducks,1,0
two balls,three balls,4.75,2.165
three libraries,three villas,2.75,1.785
those tables,that mass,1,0
four cows,this dog,1.25,0.433
two bulls,three goats,1,0
two households,two boats,1.5,0.866
these rings,every ring,5.25,1.479
that cloud,that wind,4,1.581
